reference,fournisseur,date_achat,lieu_achat,devise,montant_global,frais_divers,notes
LOT-2024-001,Grossiste Adjamé,2024-01-20,Local,XOF,450000,15000,Premier lot parfums - Mix Dior et Chanel
LOT-2024-002,China Direct Shoes,2024-01-25,Extérieur,USD,800000,120000,"Import chaussures Nike, Adidas - Container partagé"
LOT-2024-003,Dubai Luxury Import,2024-02-05,Extérieur,EUR,650000,85000,Parfums haut de gamme - Certificats d'authenticité
LOT-2024-004,Bijoux Maroc,2024-02-10,Extérieur,EUR,380000,45000,Bijoux argent et or - Artisanat qualité
LOT-2024-005,Grossiste Adjamé,2024-02-15,Local,XOF,320000,8000,Réassort chaussures locales
LOT-2024-006,Parfumerie France,2024-03-01,Extérieur,EUR,580000,75000,Parfums authentiques - YSL et Lancôme
LOT-2024-007,China Direct Shoes,2024-03-05,Extérieur,USD,720000,95000,Nouvelles collections - Vans et Puma
LOT-2024-008,Dubai Luxury Import,2024-03-10,Extérieur,EUR,420000,55000,Bijoux précieux - Or 18K
LOT-2024-009,Grossiste Adjamé,2024-03-20,Local,XOF,285000,12000,Mix parfums et accessoires
LOT-2024-010,Bijoux Maroc,2024-03-25,Extérieur,EUR,310000,38000,Nouvelle collection printemps
