vente,article,ligne_lot,quantite,prix_unitaire_negocie
VTE-2024-001,Dior Sauvage 100ml,LOT-2024-001|Dior Sauvage 100ml,2,25000
VTE-2024-002,Nike Air Max 90,LOT-2024-002|Nike Air Max 90,2,26000
VTE-2024-003,Chanel N°5 50ml,LOT-2024-001|Chanel N°5 50ml,1,28000
VTE-2024-003,Dior Sauvage 100ml,LOT-2024-001|Dior Sauvage 100ml,2,23500
VTE-2024-004,Chanel N°5 50ml,LOT-2024-001|Chanel N°5 50ml,1,28000
VTE-2024-005,Nike Air Max 90,LOT-2024-002|Nike Air Max 90,3,27000
VTE-2024-005,Adidas Superstar,LOT-2024-002|Adidas Superstar,3,25000
VTE-2024-006,Bague Argent Solitaire,LOT-2024-004|Bague Argent Solitaire,5,12000
VTE-2024-007,Armani Code 75ml,LOT-2024-001|Armani Code 75ml,3,22000
VTE-2024-008,Converse Chuck Taylor,LOT-2024-002|Converse Chuck Taylor,3,15000
VTE-2024-009,Gucci Bloom 100ml,LOT-2024-003|Gucci Bloom 100ml,2,33000
VTE-2024-009,Yves Saint Laurent Black Opium 90ml,LOT-2024-003|Yves Saint Laurent Black Opium 90ml,1,30000
VTE-2024-010,Collier Or 18K Chaîne Fine,LOT-2024-004|Collier Or 18K Chaîne Fine,1,45000
VTE-2024-010,Boucles d'Oreilles Créoles Or,LOT-2024-004|Boucles d'Oreilles Créoles Or,1,42000
VTE-2024-011,Adidas Superstar,LOT-2024-002|Adidas Superstar,2,25000
VTE-2024-012,Prada Luna Rossa 100ml,LOT-2024-003|Prada Luna Rossa 100ml,1,30000
VTE-2024-012,Dior Sauvage 100ml,LOT-2024-001|Dior Sauvage 100ml,1,24000
VTE-2024-013,Pendentif Coeur Or Rose,LOT-2024-008|Pendentif Coeur Or Rose,1,38000
VTE-2024-013,Montre Femme Acier,LOT-2024-008|Montre Femme Acier,2,32000
VTE-2024-014,Vans Old Skool,LOT-2024-005|Vans Old Skool,2,18000
VTE-2024-015,Armani Code 75ml,LOT-2024-001|Armani Code 75ml,2,20000
VTE-2024-016,Bracelet Argent Maille,LOT-2024-008|Bracelet Argent Maille,3,14000
VTE-2024-017,Nike Air Max 90,LOT-2024-002|Nike Air Max 90,2,28000
VTE-2024-018,Dior Sauvage 100ml,LOT-2024-009|Dior Sauvage 100ml,1,22000
VTE-2024-019,Bague Argent Solitaire,LOT-2024-004|Bague Argent Solitaire,3,11000
VTE-2024-020,Gucci Bloom 100ml,LOT-2024-003|Gucci Bloom 100ml,2,35000
VTE-2024-020,Prada Luna Rossa 100ml,LOT-2024-003|Prada Luna Rossa 100ml,2,30000
VTE-2024-021,Puma Suede Classic,LOT-2024-005|Puma Suede Classic,2,19000
VTE-2024-022,Lancôme La Vie Est Belle 75ml,LOT-2024-006|Lancôme La Vie Est Belle 75ml,1,34000
VTE-2024-023,Montre Femme Acier,LOT-2024-008|Montre Femme Acier,1,35000
VTE-2024-023,Bracelet Argent Maille,LOT-2024-008|Bracelet Argent Maille,4,12500
VTE-2024-024,Reebok Classic Leather,LOT-2024-007|Reebok Classic Leather,2,22000
VTE-2024-025,Yves Saint Laurent Black Opium 90ml,LOT-2024-006|Yves Saint Laurent Black Opium 90ml,1,32000
VTE-2024-026,Collier Or 18K Chaîne Fine,LOT-2024-004|Collier Or 18K Chaîne Fine,1,45000
VTE-2024-026,Pendentif Coeur Or Rose,LOT-2024-008|Pendentif Coeur Or Rose,1,38000
VTE-2024-027,New Balance 574,LOT-2024-007|New Balance 574,2,24000
VTE-2024-028,Dior Sauvage 100ml,LOT-2024-009|Dior Sauvage 100ml,3,24000
VTE-2024-028,Armani Code 75ml,LOT-2024-009|Armani Code 75ml,2,21000
VTE-2024-029,Converse Chuck Taylor,LOT-2024-002|Converse Chuck Taylor,3,16000
VTE-2024-030,Boucles d'Oreilles Créoles Or,LOT-2024-004|Boucles d'Oreilles Créoles Or,1,40000
